Metric,Technology,Run,Optimal Value,Unit
Total cost,,1,54558112288237.73,$US
Capacity,Thermal,1,2407.0,MW
Capacity,Solar PV,1,0.0,MW
Capacity,Wind,1,2855.572924696599,MW
Capacity,All,1,5262.572924696598,MW
Charge power capacity,Li-Ion,1,10000.0,MW
Charge power capacity,CAES,1,10000.0,MW
Charge power capacity,PHS,1,6677.804058019628,MW
Charge power capacity,H2,1,20000.0,MW
Charge power capacity,All,1,46677.804058019625,MW
Discharge power capacity,Li-Ion,1,10000.0,MW
Discharge power capacity,CAES,1,10000.0,MW
Discharge power capacity,PHS,1,6677.804058019628,MW
Discharge power capacity,H2,1,20000.0,MW
Discharge power capacity,All,1,46677.804058019625,MW
Average power capacity,Li-Ion,1,10000.0,MW
Average power capacity,CAES,1,10000.0,MW
Average power capacity,PHS,1,6677.804058019628,MW
Average power capacity,H2,1,20000.0,MW
Average power capacity,All,1,46677.804058019625,MW
Energy capacity,Li-Ion,1,65079.13734559686,MWh
Energy capacity,CAES,1,108465.22890932809,MWh
Energy capacity,PHS,1,173834.29098353736,MWh
Energy capacity,H2,1,260316.54938238743,MWh
Energy capacity,All,1,607695.2066208497,MWh
Duration,Li-Ion,1,6.000000000000001,h
Duration,CAES,1,10.0,h
Duration,PHS,1,24.0,h
Duration,H2,1,12.000000000000002,h
Total generation,Thermal,1,12920046.952971045,MWh
Total generation,Solar PV,1,0.0,MWh
Total generation,Wind,1,10949469.047646042,MWh
Total generation,Other renewables,1,2886483.1523,MWh
Total generation,Hydro,1,5544463.16,MWh
Total generation,Nuclear,1,0.0,MWh
Total generation,Li-Ion,1,164508.8203237998,MWh
Total generation,CAES,1,164404.42055641822,MWh
Total generation,PHS,1,354352.24401951366,MWh
Total generation,H2,1,257647.0155243707,MWh
Total generation,All,1,33241374.81334119,MWh
Total Imports/Exports,Imports,1,0.0,MWh
Total Imports/Exports,Exports,1,344.93048929745487,MWh
Storage energy discharging,Li-Ion,1,164508.8203237998,MWh
Storage energy discharging,CAES,1,164404.42055641822,MWh
Storage energy discharging,PHS,1,354352.24401951366,MWh
Storage energy discharging,H2,1,257647.0155243707,MWh
Storage energy discharging,All,1,940912.5004241023,MWh
Total demand,demand,1,32134074.0,MWh
Storage energy charging,Li-Ion,1,193539.78861623514,MWh
Storage energy charging,CAES,1,193416.9653604838,MWh
Storage energy charging,PHS,1,416884.9929641333,MWh
Storage energy charging,H2,1,303114.13591102435,MWh
Storage energy charging,All,1,1106955.8828518766,MWh
CAPEX,Solar PV,1,0.0,$US
CAPEX,Wind,1,53849232895978.18,$US
CAPEX,Thermal,1,0.0,$US
CAPEX,All,1,53849232895978.18,$US
Power-CAPEX,Li-Ion,1,16990726633.78602,$US
Power-CAPEX,CAES,1,86227451756.88896,$US
Power-CAPEX,PHS,1,304419079099.92004,$US
Power-CAPEX,H2,1,248693350069.79044,$US
Power-CAPEX,All,1,656330607560.3855,$US
Energy-CAPEX,Li-Ion,1,0.0,$US
Energy-CAPEX,CAES,1,0.0,$US
Energy-CAPEX,PHS,1,0.0,$US
Energy-CAPEX,H2,1,0.0,$US
Energy-CAPEX,All,1,0.0,$US
Total-CAPEX,Li-Ion,1,16990726633.78602,$US
Total-CAPEX,CAES,1,86227451756.88896,$US
Total-CAPEX,PHS,1,304419079099.92004,$US
Total-CAPEX,H2,1,248693350069.79044,$US
Total-CAPEX,All,1,656330607560.3855,$US
FOM,Thermal,1,0.0,$US
FOM,Solar PV,1,0.0,$US
FOM,Wind,1,25700156322.26939,$US
FOM,Li-Ion,1,0.0,$US
FOM,CAES,1,0.0,$US
FOM,PHS,1,0.0,$US
FOM,H2,1,0.0,$US
FOM,All,1,25700156322.26939,$US
VOM,Thermal,1,0.0,$US
VOM,Li-Ion,1,0.0,$US
VOM,CAES,1,0.0,$US
VOM,PHS,1,0.0,$US
VOM,H2,1,0.0,$US
VOM,All,1,0.0,$US
Fuel-Cost,Thermal,1,26848638870.127,$US
OPEX,Thermal,1,0.0,$US
OPEX,Solar PV,1,0.0,$US
OPEX,Wind,1,25700156322.26939,$US
OPEX,Li-Ion,1,0.0,$US
OPEX,CAES,1,0.0,$US
OPEX,PHS,1,0.0,$US
OPEX,H2,1,0.0,$US
OPEX,All,1,25700156322.26939,$US
Cost,Imports Cost,1,0.0,$US
Revenue,Exports Revenue,1,10493.23523649252,$US
Equivalent number of cycles,Li-Ion,1,2.527827304320133,-
Equivalent number of cycles,CAES,1,1.5157338642953744,-
Equivalent number of cycles,PHS,1,2.0384484672996535,-
Equivalent number of cycles,H2,1,0.9897450474649027,-
Total VRE curtailment,Solar PV,1,0.0,MWh
Total VRE curtailment,Wind,1,12.314720894739821,MWh
Total VRE curtailment,All,1,12.314720894739821,MWh
VRE curtailment percentage,All,1,0.00011246853149652525,%
